
 New experiment
Initial speed of the ego car:,15
Iniatial speed of the non ego car:,15
Trigger distance between the pedestrian and the non ego car:,4
Speed of the ego car at collision:,0

 New experiment
Initial speed of the ego car:,15
Iniatial speed of the non ego car:,15
Trigger distance between the pedestrian and the non ego car:,4
Speed of the ego car at collision:,0

 New experiment
Initial speed of the ego car:,15
Iniatial speed of the non ego car:,15
Trigger distance between the pedestrian and the non ego car:,4
Speed of the ego car at collision:,6.09134

 New experiment
Initial speed of the ego car:,15
Iniatial speed of the non ego car:,15
Trigger distance between the pedestrian and the non ego car:,4
Speed of the ego car at collision:,0.750663

 New experiment
Initial speed of the ego car:,6.95254e-310
Iniatial speed of the non ego car:,2.13034e-317
Trigger distance between the pedestrian and the non ego car:,2.12203e-314
Speed of the ego car at collision:,0

 New experiment
Initial speed of the ego car:,15
Iniatial speed of the non ego car:,15
Trigger distance between the pedestrian and the non ego car:,4
Speed of the ego car at collision:,0

 New experiment
Initial speed of the ego car:,15
Iniatial speed of the non ego car:,15
Trigger distance between the pedestrian and the non ego car:,4
Speed of the ego car at collision:,0

 New experiment
Initial speed of the ego car:,15
Iniatial speed of the non ego car:,15
Trigger distance between the pedestrian and the non ego car:,4
Speed of the ego car at collision:,7.18464
